Auction Link,Time Left,Price,Location,Postal Code,Perperty Value,Low Range,High Range,Confidence
https://www.iamsold.co.uk/properties/2964181bac454cb680abc2502bed8347.html,No information available for time.,"£60,000.00","Whinway, Washington",NE37 1AU,"£142,000"," £95,000 "," £119,000",63%
https://www.iamsold.co.uk/properties/2964181bac454cb680abc2502bed8347.html,No information available for time.,"£60,000.00","Whinway, Washington",NE37 1AU,"£132,000"," £116,000 "," £135,000",74%
https://www.iamsold.co.uk/properties/2964181bac454cb680abc2502bed8347.html,No information available for time.,"£60,000.00","Whinway, Washington",NE37 1AU,"£116,000"," £85,000 "," £106,000",63%
https://www.iamsold.co.uk/properties/2964181bac454cb680abc2502bed8347.html,No information available for time.,"£60,000.00","Whinway, Washington",NE37 1AU,"£128,000"," £111,000 "," £130,000",72%
https://www.iamsold.co.uk/properties/2964181bac454cb680abc2502bed8347.html,No information available for time.,"£60,000.00","Whinway, Washington",NE37 1AU,"£121,000"," £111,000 "," £131,000",72%
https://www.iamsold.co.uk/properties/2964181bac454cb680abc2502bed8347.html,No information available for time.,"£60,000.00","Whinway, Washington",NE37 1AU,"£122,000"," £98,000 "," £113,000",83%
https://www.iamsold.co.uk/properties/2964181bac454cb680abc2502bed8347.html,No information available for time.,"£60,000.00","Whinway, Washington",NE37 1AU,"£121,000"," £85,000 "," £104,000",65%
https://www.iamsold.co.uk/properties/2964181bac454cb680abc2502bed8347.html,No information available for time.,"£60,000.00","Whinway, Washington",NE37 1AU,"£123,000"," £76,000 "," £80,000",99%
https://www.iamsold.co.uk/properties/2964181bac454cb680abc2502bed8347.html,No information available for time.,"£60,000.00","Whinway, Washington",NE37 1AU,"£122,000"," £188,000 "," £202,000",87%
https://www.iamsold.co.uk/properties/2964181bac454cb680abc2502bed8347.html,No information available for time.,"£60,000.00","Whinway, Washington",NE37 1AU,"£133,000"," £121,000 "," £135,000",74%
https://www.iamsold.co.uk/properties/2fe9b22c266c4eb9b1006db3629a8d5b.html,No information available for time.,"£260,000.00","Donald Street, Newcastle Upon Tyne",NE3 1QA,"£250,000",None,None,None
https://www.iamsold.co.uk/properties/2fe9b22c266c4eb9b1006db3629a8d5b.html,No information available for time.,"£260,000.00","Donald Street, Newcastle Upon Tyne",NE3 1QA,"£129,000"," £77,000 "," £83,000",97%
https://www.iamsold.co.uk/properties/33a2540151774b7bab99b6b918068282.html,No information available for time.,"£35,000.00","Goschen Street, Blyth",NE24 1NJ,"£51,000",None,None,None
https://www.iamsold.co.uk/properties/33a2540151774b7bab99b6b918068282.html,No information available for time.,"£35,000.00","Goschen Street, Blyth",NE24 1NJ,"£60,000"," £77,000 "," £83,000",97%
https://www.iamsold.co.uk/properties/33a2540151774b7bab99b6b918068282.html,No information available for time.,"£35,000.00","Goschen Street, Blyth",NE24 1NJ,"£52,000",None,None,None
https://www.iamsold.co.uk/properties/33a2540151774b7bab99b6b918068282.html,No information available for time.,"£35,000.00","Goschen Street, Blyth",NE24 1NJ,Not known," £71,000 "," £79,000",90%
https://www.iamsold.co.uk/properties/33a2540151774b7bab99b6b918068282.html,No information available for time.,"£35,000.00","Goschen Street, Blyth",NE24 1NJ,"£74,000",None,None,None
https://www.iamsold.co.uk/properties/33a2540151774b7bab99b6b918068282.html,No information available for time.,"£35,000.00","Goschen Street, Blyth",NE24 1NJ,"£62,000"," £104,000 "," £120,000",75%
https://www.iamsold.co.uk/properties/33a2540151774b7bab99b6b918068282.html,No information available for time.,"£35,000.00","Goschen Street, Blyth",NE24 1NJ,"£54,000"," £115,000 "," £133,000",74%
https://www.iamsold.co.uk/properties/33a2540151774b7bab99b6b918068282.html,No information available for time.,"£35,000.00","Goschen Street, Blyth",NE24 1NJ,"£52,000"," £83,000 "," £103,000",64%
https://www.iamsold.co.uk/properties/33a2540151774b7bab99b6b918068282.html,No information available for time.,"£35,000.00","Goschen Street, Blyth",NE24 1NJ,"£54,000"," £116,000 "," £135,000",74%
https://www.iamsold.co.uk/properties/33a2540151774b7bab99b6b918068282.html,No information available for time.,"£35,000.00","Goschen Street, Blyth",NE24 1NJ,Not known," £84,000 "," £103,000",65%
https://www.iamsold.co.uk/properties/33a2540151774b7bab99b6b918068282.html,No information available for time.,"£35,000.00","Goschen Street, Blyth",NE24 1NJ,"£68,000"," £94,000 "," £119,000",60%
https://www.iamsold.co.uk/properties/33a2540151774b7bab99b6b918068282.html,No information available for time.,"£35,000.00","Goschen Street, Blyth",NE24 1NJ,"£58,000"," £119,000 "," £130,000",93%
https://www.iamsold.co.uk/properties/33a2540151774b7bab99b6b918068282.html,No information available for time.,"£35,000.00","Goschen Street, Blyth",NE24 1NJ,"£54,000"," £96,000 "," £120,000",62%
https://www.iamsold.co.uk/properties/33a2540151774b7bab99b6b918068282.html,No information available for time.,"£35,000.00","Goschen Street, Blyth",NE24 1NJ,"£54,000"," £95,000 "," £119,000",63%
https://www.iamsold.co.uk/properties/33a2540151774b7bab99b6b918068282.html,No information available for time.,"£35,000.00","Goschen Street, Blyth",NE24 1NJ,"£33,000"," £116,000 "," £135,000",74%
https://www.iamsold.co.uk/properties/33a2540151774b7bab99b6b918068282.html,No information available for time.,"£35,000.00","Goschen Street, Blyth",NE24 1NJ,Not known," £85,000 "," £106,000",63%
https://www.iamsold.co.uk/properties/33a2540151774b7bab99b6b918068282.html,No information available for time.,"£35,000.00","Goschen Street, Blyth",NE24 1NJ,Not known," £111,000 "," £130,000",72%
https://www.iamsold.co.uk/properties/33a2540151774b7bab99b6b918068282.html,No information available for time.,"£35,000.00","Goschen Street, Blyth",NE24 1NJ,"£54,000"," £111,000 "," £131,000",72%
https://www.iamsold.co.uk/properties/33a2540151774b7bab99b6b918068282.html,No information available for time.,"£35,000.00","Goschen Street, Blyth",NE24 1NJ,"£67,000"," £98,000 "," £113,000",83%
https://www.iamsold.co.uk/properties/33a2540151774b7bab99b6b918068282.html,No information available for time.,"£35,000.00","Goschen Street, Blyth",NE24 1NJ,"£60,000"," £85,000 "," £104,000",65%
https://www.iamsold.co.uk/properties/33a2540151774b7bab99b6b918068282.html,No information available for time.,"£35,000.00","Goschen Street, Blyth",NE24 1NJ,"£62,000"," £76,000 "," £80,000",99%
https://www.iamsold.co.uk/properties/33a2540151774b7bab99b6b918068282.html,No information available for time.,"£35,000.00","Goschen Street, Blyth",NE24 1NJ,"£40,000"," £188,000 "," £202,000",87%
https://www.iamsold.co.uk/properties/33a2540151774b7bab99b6b918068282.html,No information available for time.,"£35,000.00","Goschen Street, Blyth",NE24 1NJ,"£96,000"," £121,000 "," £135,000",74%
https://www.iamsold.co.uk/properties/33a2540151774b7bab99b6b918068282.html,No information available for time.,"£35,000.00","Goschen Street, Blyth",NE24 1NJ,"£52,000"," £146,000 "," £170,000",46%
https://www.iamsold.co.uk/properties/33a2540151774b7bab99b6b918068282.html,No information available for time.,"£35,000.00","Goschen Street, Blyth",NE24 1NJ,"£55,000"," £96,000 "," £108,000",53%
https://www.iamsold.co.uk/properties/33a2540151774b7bab99b6b918068282.html,No information available for time.,"£35,000.00","Goschen Street, Blyth",NE24 1NJ,"£51,000"," £47,000 "," £54,000",66%
https://www.iamsold.co.uk/properties/33a2540151774b7bab99b6b918068282.html,No information available for time.,"£35,000.00","Goschen Street, Blyth",NE24 1NJ,"£68,000"," £83,000 "," £96,000",63%
https://www.iamsold.co.uk/properties/33a2540151774b7bab99b6b918068282.html,No information available for time.,"£35,000.00","Goschen Street, Blyth",NE24 1NJ,"£60,000"," £46,000 "," £48,000",89%
https://www.iamsold.co.uk/properties/33a2540151774b7bab99b6b918068282.html,No information available for time.,"£35,000.00","Goschen Street, Blyth",NE24 1NJ,"£58,000"," £87,000 "," £106,000",55%
https://www.iamsold.co.uk/properties/33a2540151774b7bab99b6b918068282.html,No information available for time.,"£35,000.00","Goschen Street, Blyth",NE24 1NJ,"£49,000"," £107,000 "," £121,000",52%
https://www.iamsold.co.uk/properties/33a2540151774b7bab99b6b918068282.html,No information available for time.,"£35,000.00","Goschen Street, Blyth",NE24 1NJ,"£51,000"," £265,000 "," £349,000",63%
https://www.iamsold.co.uk/properties/33a2540151774b7bab99b6b918068282.html,No information available for time.,"£35,000.00","Goschen Street, Blyth",NE24 1NJ,"£65,000"," £90,000 "," £113,000",38%
https://www.iamsold.co.uk/properties/34913009e5544ced95adbeb07a64a89a.html,No information available for time.,"£1,000,000.00","West Croft Road, Newcastle Upon Tyne",NE12 9JU,Not known,None,None,None
https://www.iamsold.co.uk/properties/34913009e5544ced95adbeb07a64a89a.html,No information available for time.,"£1,000,000.00","West Croft Road, Newcastle Upon Tyne",NE12 9JU,"£280,000"," £77,000 "," £83,000",97%
https://www.iamsold.co.uk/properties/34913009e5544ced95adbeb07a64a89a.html,No information available for time.,"£1,000,000.00","West Croft Road, Newcastle Upon Tyne",NE12 9JU,"£233,000",None,None,None
https://www.iamsold.co.uk/properties/34913009e5544ced95adbeb07a64a89a.html,No information available for time.,"£1,000,000.00","West Croft Road, Newcastle Upon Tyne",NE12 9JU,"£447,000"," £71,000 "," £79,000",90%
https://www.iamsold.co.uk/properties/34913009e5544ced95adbeb07a64a89a.html,No information available for time.,"£1,000,000.00","West Croft Road, Newcastle Upon Tyne",NE12 9JU,Not known,None,None,None
https://www.iamsold.co.uk/properties/34913009e5544ced95adbeb07a64a89a.html,No information available for time.,"£1,000,000.00","West Croft Road, Newcastle Upon Tyne",NE12 9JU,"£422,000"," £104,000 "," £120,000",75%
https://www.iamsold.co.uk/properties/34913009e5544ced95adbeb07a64a89a.html,No information available for time.,"£1,000,000.00","West Croft Road, Newcastle Upon Tyne",NE12 9JU,Not known," £115,000 "," £133,000",74%
https://www.iamsold.co.uk/properties/34913009e5544ced95adbeb07a64a89a.html,No information available for time.,"£1,000,000.00","West Croft Road, Newcastle Upon Tyne",NE12 9JU,Not known," £83,000 "," £103,000",64%
https://www.iamsold.co.uk/properties/3c77cb54a704403884d219ebe4bb198a.html,No information available for time.,"£45,000.00","Staindale Place, Hartlepool",TS25 5JX,"£58,000",None,None,None
https://www.iamsold.co.uk/properties/3c77cb54a704403884d219ebe4bb198a.html,No information available for time.,"£45,000.00","Staindale Place, Hartlepool",TS25 5JX,"£64,000"," £77,000 "," £83,000",97%
https://www.iamsold.co.uk/properties/3c77cb54a704403884d219ebe4bb198a.html,No information available for time.,"£45,000.00","Staindale Place, Hartlepool",TS25 5JX,"£75,000",None,None,None
https://www.iamsold.co.uk/properties/3c77cb54a704403884d219ebe4bb198a.html,No information available for time.,"£45,000.00","Staindale Place, Hartlepool",TS25 5JX,"£89,000"," £71,000 "," £79,000",90%
https://www.iamsold.co.uk/properties/3c77cb54a704403884d219ebe4bb198a.html,No information available for time.,"£45,000.00","Staindale Place, Hartlepool",TS25 5JX,"£62,000",None,None,None
https://www.iamsold.co.uk/properties/3c77cb54a704403884d219ebe4bb198a.html,No information available for time.,"£45,000.00","Staindale Place, Hartlepool",TS25 5JX,"£64,000"," £104,000 "," £120,000",75%
https://www.iamsold.co.uk/properties/3c77cb54a704403884d219ebe4bb198a.html,No information available for time.,"£45,000.00","Staindale Place, Hartlepool",TS25 5JX,"£71,000"," £115,000 "," £133,000",74%
https://www.iamsold.co.uk/properties/3c77cb54a704403884d219ebe4bb198a.html,No information available for time.,"£45,000.00","Staindale Place, Hartlepool",TS25 5JX,"£66,000"," £83,000 "," £103,000",64%
https://www.iamsold.co.uk/properties/3c77cb54a704403884d219ebe4bb198a.html,No information available for time.,"£45,000.00","Staindale Place, Hartlepool",TS25 5JX,"£48,000"," £116,000 "," £135,000",74%
https://www.iamsold.co.uk/properties/3c77cb54a704403884d219ebe4bb198a.html,No information available for time.,"£45,000.00","Staindale Place, Hartlepool",TS25 5JX,"£63,000"," £84,000 "," £103,000",65%
https://www.iamsold.co.uk/properties/3c77cb54a704403884d219ebe4bb198a.html,No information available for time.,"£45,000.00","Staindale Place, Hartlepool",TS25 5JX,"£61,000"," £94,000 "," £119,000",60%
https://www.iamsold.co.uk/properties/3c77cb54a704403884d219ebe4bb198a.html,No information available for time.,"£45,000.00","Staindale Place, Hartlepool",TS25 5JX,"£75,000"," £119,000 "," £130,000",93%
https://www.iamsold.co.uk/properties/3c77cb54a704403884d219ebe4bb198a.html,No information available for time.,"£45,000.00","Staindale Place, Hartlepool",TS25 5JX,"£65,000"," £96,000 "," £120,000",62%
https://www.iamsold.co.uk/properties/3c77cb54a704403884d219ebe4bb198a.html,No information available for time.,"£45,000.00","Staindale Place, Hartlepool",TS25 5JX,"£82,000"," £95,000 "," £119,000",63%
https://www.iamsold.co.uk/properties/3c77cb54a704403884d219ebe4bb198a.html,No information available for time.,"£45,000.00","Staindale Place, Hartlepool",TS25 5JX,"£74,000"," £116,000 "," £135,000",74%
https://www.iamsold.co.uk/properties/3c77cb54a704403884d219ebe4bb198a.html,No information available for time.,"£45,000.00","Staindale Place, Hartlepool",TS25 5JX,"£78,000"," £85,000 "," £106,000",63%
https://www.iamsold.co.uk/properties/3c77cb54a704403884d219ebe4bb198a.html,No information available for time.,"£45,000.00","Staindale Place, Hartlepool",TS25 5JX,"£83,000"," £111,000 "," £130,000",72%
https://www.iamsold.co.uk/properties/3c77cb54a704403884d219ebe4bb198a.html,No information available for time.,"£45,000.00","Staindale Place, Hartlepool",TS25 5JX,"£62,000"," £111,000 "," £131,000",72%
https://www.iamsold.co.uk/properties/3c77cb54a704403884d219ebe4bb198a.html,No information available for time.,"£45,000.00","Staindale Place, Hartlepool",TS25 5JX,"£68,000"," £98,000 "," £113,000",83%
https://www.iamsold.co.uk/properties/3c77cb54a704403884d219ebe4bb198a.html,No information available for time.,"£45,000.00","Staindale Place, Hartlepool",TS25 5JX,"£75,000"," £85,000 "," £104,000",65%
https://www.iamsold.co.uk/properties/3c77cb54a704403884d219ebe4bb198a.html,No information available for time.,"£45,000.00","Staindale Place, Hartlepool",TS25 5JX,"£53,000"," £76,000 "," £80,000",99%
https://www.iamsold.co.uk/properties/3c77cb54a704403884d219ebe4bb198a.html,No information available for time.,"£45,000.00","Staindale Place, Hartlepool",TS25 5JX,"£54,000"," £188,000 "," £202,000",87%
https://www.iamsold.co.uk/properties/3c77cb54a704403884d219ebe4bb198a.html,No information available for time.,"£45,000.00","Staindale Place, Hartlepool",TS25 5JX,"£72,000"," £121,000 "," £135,000",74%
https://www.iamsold.co.uk/properties/3c77cb54a704403884d219ebe4bb198a.html,No information available for time.,"£45,000.00","Staindale Place, Hartlepool",TS25 5JX,"£68,000"," £146,000 "," £170,000",46%
https://www.iamsold.co.uk/properties/3c77cb54a704403884d219ebe4bb198a.html,No information available for time.,"£45,000.00","Staindale Place, Hartlepool",TS25 5JX,"£69,000"," £96,000 "," £108,000",53%
https://www.iamsold.co.uk/properties/3c77cb54a704403884d219ebe4bb198a.html,No information available for time.,"£45,000.00","Staindale Place, Hartlepool",TS25 5JX,"£78,000"," £47,000 "," £54,000",66%
https://www.iamsold.co.uk/properties/3c77cb54a704403884d219ebe4bb198a.html,No information available for time.,"£45,000.00","Staindale Place, Hartlepool",TS25 5JX,"£54,000"," £83,000 "," £96,000",63%
https://www.iamsold.co.uk/properties/3c77cb54a704403884d219ebe4bb198a.html,No information available for time.,"£45,000.00","Staindale Place, Hartlepool",TS25 5JX,Not known," £46,000 "," £48,000",89%
https://www.iamsold.co.uk/properties/3c77cb54a704403884d219ebe4bb198a.html,No information available for time.,"£45,000.00","Staindale Place, Hartlepool",TS25 5JX,Not known," £87,000 "," £106,000",55%
https://www.iamsold.co.uk/properties/484af411a3374751849a5742bb712f92.html,No information available for time.,"£40,000.00","Corporation Road, Darlington",DL3 6AJ,Not known,None,None,None
https://www.iamsold.co.uk/properties/484af411a3374751849a5742bb712f92.html,No information available for time.,"£40,000.00","Corporation Road, Darlington",DL3 6AJ,"£53,000"," £77,000 "," £83,000",97%
https://www.iamsold.co.uk/properties/484af411a3374751849a5742bb712f92.html,No information available for time.,"£40,000.00","Corporation Road, Darlington",DL3 6AJ,"£68,000",None,None,None
https://www.iamsold.co.uk/properties/484af411a3374751849a5742bb712f92.html,No information available for time.,"£40,000.00","Corporation Road, Darlington",DL3 6AJ,"£65,000"," £71,000 "," £79,000",90%
https://www.iamsold.co.uk/properties/484af411a3374751849a5742bb712f92.html,No information available for time.,"£40,000.00","Corporation Road, Darlington",DL3 6AJ,"£120,000",None,None,None
https://www.iamsold.co.uk/properties/484af411a3374751849a5742bb712f92.html,No information available for time.,"£40,000.00","Corporation Road, Darlington",DL3 6AJ,"£118,000"," £104,000 "," £120,000",75%
https://www.iamsold.co.uk/properties/484af411a3374751849a5742bb712f92.html,No information available for time.,"£40,000.00","Corporation Road, Darlington",DL3 6AJ,"£95,000"," £115,000 "," £133,000",74%
https://www.iamsold.co.uk/properties/484af411a3374751849a5742bb712f92.html,No information available for time.,"£40,000.00","Corporation Road, Darlington",DL3 6AJ,"£89,000"," £83,000 "," £103,000",64%
https://www.iamsold.co.uk/properties/484af411a3374751849a5742bb712f92.html,No information available for time.,"£40,000.00","Corporation Road, Darlington",DL3 6AJ,"£103,000"," £116,000 "," £135,000",74%
https://www.iamsold.co.uk/properties/484af411a3374751849a5742bb712f92.html,No information available for time.,"£40,000.00","Corporation Road, Darlington",DL3 6AJ,"£102,000"," £84,000 "," £103,000",65%
https://www.iamsold.co.uk/properties/484af411a3374751849a5742bb712f92.html,No information available for time.,"£40,000.00","Corporation Road, Darlington",DL3 6AJ,"£59,000"," £94,000 "," £119,000",60%
https://www.iamsold.co.uk/properties/484af411a3374751849a5742bb712f92.html,No information available for time.,"£40,000.00","Corporation Road, Darlington",DL3 6AJ,"£81,000"," £119,000 "," £130,000",93%
https://www.iamsold.co.uk/properties/484af411a3374751849a5742bb712f92.html,No information available for time.,"£40,000.00","Corporation Road, Darlington",DL3 6AJ,"£92,000"," £96,000 "," £120,000",62%
https://www.iamsold.co.uk/properties/484af411a3374751849a5742bb712f92.html,No information available for time.,"£40,000.00","Corporation Road, Darlington",DL3 6AJ,"£120,000"," £95,000 "," £119,000",63%
https://www.iamsold.co.uk/properties/484af411a3374751849a5742bb712f92.html,No information available for time.,"£40,000.00","Corporation Road, Darlington",DL3 6AJ,"£87,000"," £116,000 "," £135,000",74%
https://www.iamsold.co.uk/properties/484af411a3374751849a5742bb712f92.html,No information available for time.,"£40,000.00","Corporation Road, Darlington",DL3 6AJ,"£55,000"," £85,000 "," £106,000",63%
https://www.iamsold.co.uk/properties/484af411a3374751849a5742bb712f92.html,No information available for time.,"£40,000.00","Corporation Road, Darlington",DL3 6AJ,"£109,000"," £111,000 "," £130,000",72%
https://www.iamsold.co.uk/properties/484af411a3374751849a5742bb712f92.html,No information available for time.,"£40,000.00","Corporation Road, Darlington",DL3 6AJ,"£106,000"," £111,000 "," £131,000",72%
https://www.iamsold.co.uk/properties/484af411a3374751849a5742bb712f92.html,No information available for time.,"£40,000.00","Corporation Road, Darlington",DL3 6AJ,"£121,000"," £98,000 "," £113,000",83%
https://www.iamsold.co.uk/properties/484af411a3374751849a5742bb712f92.html,No information available for time.,"£40,000.00","Corporation Road, Darlington",DL3 6AJ,"£81,000"," £85,000 "," £104,000",65%
https://www.iamsold.co.uk/properties/484af411a3374751849a5742bb712f92.html,No information available for time.,"£40,000.00","Corporation Road, Darlington",DL3 6AJ,"£79,000"," £76,000 "," £80,000",99%
https://www.iamsold.co.uk/properties/484af411a3374751849a5742bb712f92.html,No information available for time.,"£40,000.00","Corporation Road, Darlington",DL3 6AJ,"£121,000"," £188,000 "," £202,000",87%
https://www.iamsold.co.uk/properties/484af411a3374751849a5742bb712f92.html,No information available for time.,"£40,000.00","Corporation Road, Darlington",DL3 6AJ,"£129,000"," £121,000 "," £135,000",74%
https://www.iamsold.co.uk/properties/484af411a3374751849a5742bb712f92.html,No information available for time.,"£40,000.00","Corporation Road, Darlington",DL3 6AJ,"£74,000"," £146,000 "," £170,000",46%
https://www.iamsold.co.uk/properties/484af411a3374751849a5742bb712f92.html,No information available for time.,"£40,000.00","Corporation Road, Darlington",DL3 6AJ,"£72,000"," £96,000 "," £108,000",53%
https://www.iamsold.co.uk/properties/484af411a3374751849a5742bb712f92.html,No information available for time.,"£40,000.00","Corporation Road, Darlington",DL3 6AJ,"£129,000"," £47,000 "," £54,000",66%
https://www.iamsold.co.uk/properties/484af411a3374751849a5742bb712f92.html,No information available for time.,"£40,000.00","Corporation Road, Darlington",DL3 6AJ,"£65,000"," £83,000 "," £96,000",63%
https://www.iamsold.co.uk/properties/484af411a3374751849a5742bb712f92.html,No information available for time.,"£40,000.00","Corporation Road, Darlington",DL3 6AJ,"£76,000"," £46,000 "," £48,000",89%
